horizon,n_scenarios,baseline_mae_pp,model_mae_pp,delta_mae_all_pp,delta_mae_worst20_pp,win_rate_worst20,worst20_n
h=1,96,0.3515613521414059,0.4674687793028364,-0.11590742716143054,0.17347693191078095,0.7,20
h=4,87,0.43731499567129567,0.5312807159011618,-0.0939657202298661,0.2212377292247828,0.6111111111111112,18
h=8,75,0.61175090404261,0.6248099611333213,-0.013059057090711312,0.6246837498969576,0.9333333333333333,15
h=12,63,0.5842340480272048,0.7372636021078758,-0.15302955408067098,0.010721966688034712,0.7692307692307693,13
